,Price,6M_Return(%),12M_ex1_Return(%),Volatility(%),MomentumScore,Above_200DMA,Positive_6M,Positive_12M_ex1,SMA_200
OIL.NS,253.2318572998047,60.044929993977505,65.47327832386769,30.144020062871657,2.099286889772109,True,True,True,180.1087981414795
OLECTRA.NS,1658.9571533203125,18.975932594139678,147.43373854161214,47.55149997011,2.019503510675359,True,True,True,1062.1300936889647
POLICYBZR.NS,852.0499877929688,16.01987465520207,73.88686492305322,32.51024731530588,1.5602608529988513,True,True,True,713.5342504882813
PCBL.NS,257.7198181152344,63.19338288031109,114.57495357351131,41.36718516868867,2.2723228975802994,True,True,True,171.5356482696533
PGEL.NS,208.03216552734375,32.67030597983827,121.15107100105362,39.20706927777778,2.186771387355108,True,True,True,178.77243019104003
PNBHOUSING.NS,793.158203125,30.31467005532238,68.31628577857009,34.94147410463573,1.5196966894802904,True,True,True,633.6548860168457
PNCINFRA.NS,386.36602783203125,12.005202663507507,14.05332136965123,27.345753145809727,0.4837766233908605,True,True,True,331.97470291137694
PATANJALI.NS,1625.8582763671875,34.37379375108329,32.703958705899794,31.684075572962378,1.0529378794200304,True,True,True,1232.9163623046875
PETRONET.NS,223.313720703125,6.246555719358904,1.0329890364116023,27.663504138455934,0.11268597189530033,True,True,True,207.48178512573242
PHOENIXLTD.NS,1238.6732177734375,57.996689721319996,67.32794927547718,34.00173346010288,1.869809003660878,True,True,True,890.0752847290039
PIDILITIND.NS,2712.9228515625,5.468994031182639,5.056012402477972,18.334641763186546,0.2846174442303686,True,True,True,2492.3713793945312
PPLPHARMA.NS,141.8550262451172,56.323961462353566,11.026982045867983,37.02692782972281,0.7869382133005158,True,True,True,98.64852325439453
POLYMED.NS,1451.308349609375,31.887740896020155,74.58784094083337,42.16187604034854,1.3636528967287744,True,True,True,1261.456719970703
POONAWALLA.NS,494.1563415527344,35.51608670912512,49.35397707141747,34.06206961492879,1.2860627904828292,True,True,True,371.6150132751465
PFC.NS,383.29656982421875,128.45263293642887,258.2041638333313,42.59749599635798,4.841954370944606,True,True,True,209.97624946594237
POWERGRID.NS,228.23243713378906,32.58242147380115,57.67430673569409,22.599374598940987,2.106982323746727,True,True,True,180.87348487854004
PRAJIND.NS,514.6345825195312,29.871754350944112,46.17946383679463,42.1436907556193,0.9407570092108252,True,True,True,459.8516093444824
PRESTIGE.NS,1352.6029052734375,131.93815581447583,146.81326156757964,44.24758596869797,3.1828039461069193,True,True,True,689.9741717529297
